388;Республика Алтай
385;Алтайский край
416;Амурская область
814,818;Архангельская область
851;Астраханская область
472;Белгородская область
483;Брянская область
302;Республика Бурятия
492;Владимирская область
844;Волгоградская область
817,820,844;Вологодская область
473;Воронежская область
426;Еврейская автономная область
493;Ивановская область
395;Иркутская область
866;Кабардино-Балкарская Республика
401;Калининградская область
484;Калужская область
415;Камчатский край
878;Республика Карачаево-Черкессия
384;Кемеровская область
833;Кировская область
494;Костромская область
861,862;Краснодарский край
391;Красноярский край
352;Курганская область
471;Курская область
812,813;Ленинградская область
474;Липецкая область
413;Магаданская область
495,499;Москва
496;Московская область
815;Мурманская область
818;Ненецкий автономный округ
831;Нижегородская область
816;Новгородская область
383;Новосибирская область
381;Омская область
353;Оренбургская область
486;Орловская область
841;Пензенская область
342;Пермский край
423;Приморский край
811;Псковская область
877;Республика Адыгея
347;Республика Башкортостан
301;Республика Бурятия
872;Республика Дагестан
873;Республика Ингушетия
847;Республика Калмыкия
814;Республика Карелия
821;Республика Коми
836;Республика Марий Эл
834;Республика Мордовия
867;Республика Северная Осетия — Алания
843,855;Республика Татарстан
394;Республика Тыва
341;Удмуртская Республика
390;Республика Хакасия
835;Чувашская Республика
411;Республика Саха (Якутия)
863;Ростовская область
491;Рязанская область
846,848;Самарская область
845;Саратовская область
424;Сахалинская область
343;Свердловская область
481;Смоленская область
863,865,879;Ставропольский край
475;Тамбовская область
482;Тверская область
382;Томская область
487;Тульская область
345,346;Тюменская область
842;Ульяновская область
421;Хабаровский край
351;Челябинская область
871;Чеченская Республика
302;Забайкальский край
427;Чукотский автономный округ
349;Ямало-Ненецкий автономный округ
485;Ярославская область
