AB,7840
AU,61
AT,43
AZ,994
AL,355
DZ,213
AO,244
AD,376
AG,1268
AR,54
AM,374
AF,93
BS,1242
BD,880
BB,1246
BH,973
BZ,501
BY,375
BE,32
BJ,229
BG,359
BO,591
BA,387
BW,267
BR,55
BN,673
BF,226
BI,257
BT,975
VU,678
VA,379
GB,44
HU,36
VE,58
TL,670
VN,84
GA,241
HT,509
GY,592
GM,220
GH,233
GT,502
GN,224
GW,245
DE,49
HN,504
PS,970
GD,1473
GR,30
GE,995
DK,45
DJ,253
DM,1767
DO,1809
CD,243
EG,20
ZM,260
ZW,263
IL,972
IN,91
ID,62
JO,962
IQ,964
IR,98
IE,353
IS,354
ES,34
IT,39
YE,967
CV,238
KZ,7600-7799
KH,855
CM,237
QA,974
KE,254
CY,357
KG,996
KI,686
CN,86
KP,850
CO,57
KM,269
CR,506
CI,225
CU,53
KW,965
LA,856
LV,371
LS,266
LR,231
LB,961
LY,218
LT,370
LI,423
LU,352
MU,230
MR,222
MG,261
MK,389
MW,265
MY,60
ML,223
MV,960
MT,356
MA,212
MH,692
MX,52
MZ,258
MD,373
MC,377
MN,976
MM,95
NA,264
NR,674
NP,977
NE,227
NG,234
NL,31
NI,505
NZ,64
NO,47
AE,971
OM,968
PK,92
PW,680
PA,507
PG,675
PY,595
PE,51
PL,48
PT,351
CG,242
KR,82
RU,7300-7599,7800-7999
RW,250
RO,40
SV,503
WS,685
SM,378
ST,239
SA,966
SZ,268
SC,248
SN,221
VC,1784
KN,1869
LC,1758
RS,381
SG,65
SY,963
SK,421
SI,386
SB,677
SO,252
SD,249
SR,597
US,1
SL,232
TJ,992
TH,66
TZ,255
TG,228
TO,676
TT,1868
TV,688
TN,216
TM,993
TR,90
UG,256
UZ,998
UA,380
UY,598
FM,691
FJ,679
PH,63
FI,358
FR,33
HR,385
CF,236
TD,235
ME,382
CZ,420
CL,56
CH,41
SE,46
LK,94
EC,593
GQ,240
ER,291
EE,372
ET,251
ZA,27
SS,211
JM,1876
JP,81
